provincia,categoria,score,hotel,puntaje
Cuenca,Cleanliness,8.5,Hotel Santiago de Compostella Suites,8.1
Cuenca,Comfort,8.5,Hotel Santiago de Compostella Suites,8.1
Cuenca,Value for money,8.3,Hotel Santiago de Compostella Suites,8.1
Cuenca,Location,8.9,Hotel Santiago de Compostella Suites,8.1
Cuenca,Free WiFi,7.8,Hotel Santiago de Compostella Suites,8.1
Cuenca,Staff,9.5,Floré Hotel Boutique,8.9
Cuenca,Facilities,8.8,Floré Hotel Boutique,8.9
Cuenca,Cleanliness,9.0,Floré Hotel Boutique,8.9
Cuenca,Comfort,9.0,Floré Hotel Boutique,8.9
Cuenca,Value for money,8.8,Floré Hotel Boutique,8.9
Cuenca,Location,9.7,Floré Hotel Boutique,8.9
Cuenca,Free WiFi,8.5,Floré Hotel Boutique,8.9
Cuenca,Staff,8.9,Loft NASS Atahualpa,8.6
Cuenca,Facilities,8.6,Loft NASS Atahualpa,8.6
Cuenca,Cleanliness,9.0,Loft NASS Atahualpa,8.6
Cuenca,Comfort,8.9,Loft NASS Atahualpa,8.6
Cuenca,Value for money,8.8,Loft NASS Atahualpa,8.6
Cuenca,Location,9.1,Loft NASS Atahualpa,8.6
Cuenca,Free WiFi,8.0,Loft NASS Atahualpa,8.6
Cuenca,Staff,9.7,Hostal Posada del Angel,9.3
Cuenca,Facilities,9.1,Hostal Posada del Angel,9.3
Cuenca,Cleanliness,9.5,Hostal Posada del Angel,9.3
Cuenca,Comfort,9.3,Hostal Posada del Angel,9.3
Cuenca,Value for money,9.5,Hostal Posada del Angel,9.3
Cuenca,Location,9.7,Hostal Posada del Angel,9.3
Cuenca,Free WiFi,8.8,Hostal Posada del Angel,9.3
Cuenca,Staff,9.5,Hotel La Orquidea,8.8
Cuenca,Facilities,8.7,Hotel La Orquidea,8.8
Cuenca,Cleanliness,9.1,Hotel La Orquidea,8.8
Cuenca,Comfort,8.9,Hotel La Orquidea,8.8
Cuenca,Value for money,9.0,Hotel La Orquidea,8.8
Cuenca,Location,9.8,Hotel La Orquidea,8.8
Cuenca,Free WiFi,8.8,Hotel La Orquidea,8.8
Cuenca,Staff,8.5,Hotel Boutique Castilla de Léon,8.0
