id,provincia,categoria,score
72,Esmeraldas,Location,8.9
72,Esmeraldas,Free WiFi,7.5
73,Esmeraldas,Staff,8.6
73,Esmeraldas,Facilities,8.9
73,Esmeraldas,Cleanliness,8.9
73,Esmeraldas,Comfort,8.9
73,Esmeraldas,Value for money,8.9
73,Esmeraldas,Location,6.7
74,Esmeraldas,Staff,9.2
74,Esmeraldas,Facilities,8.8
74,Esmeraldas,Cleanliness,8.9
74,Esmeraldas,Comfort,8.8
74,Esmeraldas,Value for money,8.8
74,Esmeraldas,Location,8.0
74,Esmeraldas,Free WiFi,10
75,Esmeraldas,Staff,8.7
75,Esmeraldas,Facilities,8.7
75,Esmeraldas,Cleanliness,8.6
75,Esmeraldas,Comfort,8.8
75,Esmeraldas,Value for money,8.1
75,Esmeraldas,Location,9.0
75,Esmeraldas,Free WiFi,5.2
1,Cuenca,Staff,8.8
1,Cuenca,Facilities,8.2
1,Cuenca,Cleanliness,8.5
1,Cuenca,Comfort,8.5
1,Cuenca,Value for money,8.3
1,Cuenca,Location,8.9
1,Cuenca,Free WiFi,7.8
2,Cuenca,Staff,9.5
2,Cuenca,Facilities,8.8
2,Cuenca,Cleanliness,9.0
2,Cuenca,Comfort,9.0
2,Cuenca,Value for money,8.8
2,Cuenca,Location,9.7
2,Cuenca,Free WiFi,8.5
3,Cuenca,Staff,8.9
3,Cuenca,Facilities,8.6
3,Cuenca,Cleanliness,9.0
3,Cuenca,Comfort,8.9
3,Cuenca,Value for money,8.8
3,Cuenca,Location,9.1
3,Cuenca,Free WiFi,8.0
4,Cuenca,Staff,9.7
4,Cuenca,Facilities,9.1
4,Cuenca,Cleanliness,9.5
4,Cuenca,Comfort,9.3
4,Cuenca,Value for money,9.5
4,Cuenca,Location,9.7
4,Cuenca,Free WiFi,8.8
5,Cuenca,Staff,9.5
5,Cuenca,Facilities,8.7
5,Cuenca,Cleanliness,9.1
5,Cuenca,Comfort,8.9
5,Cuenca,Value for money,9.0
5,Cuenca,Location,9.8
5,Cuenca,Free WiFi,8.8
6,Cuenca,Staff,8.5
6,Cuenca,Facilities,8.1
6,Cuenca,Cleanliness,8.4
6,Cuenca,Comfort,8.4
6,Cuenca,Value for money,8.3
6,Cuenca,Location,8.5
6,Cuenca,Free WiFi,8.1
7,Cuenca,Staff,8.7
7,Cuenca,Facilities,8.5
7,Cuenca,Cleanliness,8.7
7,Cuenca,Comfort,8.6
7,Cuenca,Value for money,8.3
7,Cuenca,Location,9.4
7,Cuenca,Free WiFi,8.8
8,Cuenca,Staff,9.5
8,Cuenca,Facilities,8.8
8,Cuenca,Cleanliness,9.2
8,Cuenca,Comfort,9.0
8,Cuenca,Value for money,8.9
8,Cuenca,Location,9.7
8,Cuenca,Free WiFi,8.0
9,Cuenca,Staff,9.3
9,Cuenca,Facilities,8.8
9,Cuenca,Cleanliness,8.9
9,Cuenca,Comfort,9.1
9,Cuenca,Value for money,8.6
9,Cuenca,Location,9.1
9,Cuenca,Free WiFi,8.2
10,Cuenca,Staff,9.7
10,Cuenca,Facilities,9.3
10,Cuenca,Cleanliness,9.6
10,Cuenca,Comfort,9.4
10,Cuenca,Value for money,9.1
10,Cuenca,Location,9.7
10,Cuenca,Free WiFi,9.3
11,Cuenca,Staff,9.2
11,Cuenca,Facilities,8.4
11,Cuenca,Cleanliness,8.9
11,Cuenca,Comfort,8.6
11,Cuenca,Value for money,8.8
11,Cuenca,Location,8.9
11,Cuenca,Free WiFi,7.5
12,Cuenca,Staff,9.3
12,Cuenca,Facilities,9.5
12,Cuenca,Cleanliness,9.6
12,Cuenca,Comfort,9.6
12,Cuenca,Value for money,9.5
12,Cuenca,Location,9.6
12,Cuenca,Free WiFi,8.9
13,Cuenca,Staff,8.9
13,Cuenca,Facilities,8.5
13,Cuenca,Cleanliness,9.0
13,Cuenca,Comfort,8.9
13,Cuenca,Value for money,8.7
